CAM,WI,TSK Oh my God I think they're all nuts
JO,WI,So she had to have it
CAM,WI,
JO,WI,She had to have the extra one So I got H Dad had made this other little thing it's just like a little house so I put mine X out there X>
WESS,WI,Yeah maybe you Neil
CAM,WI,Isn't she forty
WESS,WI,X We'll see you X>
CAM,WI,@Hx@@@@@
JO,WI,Forty-three
CAM,WI,H My goodness TS
JO,WI,But I m See I knew I said to Wess
WESS,WI,What'd I do with my hearing aid now
JO,WI,I knew there'd be trouble because
WESS,WI,F Well that was Neil on the phone
JO,WI,they
WESS,WI,to say well you d the Packers got their merry Christmas F
JO,WI,Oh did they
CAM,WI,Oh did they win
JO,WI,Did they win
WESS,WI,Well yeah because uh H the t the Steelers were on the one yard line
CAM,WI,Unhunh
WESS,WI,for four downs And they didn't get in
CAM,WI,Wow
WESS,WI,H And then they were on the ten yard line with fourth down to go H and they had inches to go H the guy didn't even get up to the line of scrimmage that was had the ball
CAM,WI,Nice
WESS,WI,But he must've pushed it up there or something I don't know how he got it up there H But they gave it to them then H then that'd give em another four down four downs on the one yard line
JO,WI,So it's over with
WESS,WI,So it's over with
CAM,WI,X They X won
WESS,WI,Green Bay won twenty-four to nineteen
CAM,WI,So now we can have a merry Christmas
JO,WI,Uh-oh
CAM,WI,@@@@@@@@
JO,WI,Yes That's what Patty said- Oh I'm praying Mom that they win because H she said
CAM,WI,
JO,WI,otherwise everybody'll be mad
CAM,WI,
WESS,WI,Kathy Wesley
CAM,WI,H Oh
WESS,WI,Tommy
JO,WI,Y not Wesley Wesley never gets mad
CAM,WI,XX Is it Is Fred in there crying
WESS,WI,Oh
CAM,WI,Hx@@@@
JO,WI,Is Fred crying
WESS,WI,No
JO,WI,Did he win his fifty bucks
WESS,WI,Well he won fifty bucks
JO,WI,Good
CAM,WI,He won fifty bucks-
WESS,WI,His score was uh four and nine
CAM,WI,THROAT Oh
WESS,WI,H So he won fifty buck I wonder if he's got the right teams
JO,WI,
WESS,WI,Hey Fred
FRED,MI,Yeah
JO,WI,H Well
WESS,WI,You had four and nine
JO,WI,No Wesley n na I w gotta say that about Wesley
WESS,WI,But did you have the Packers winning
JO,WI,He never gets upset about a football game
CAM,WI,Hm
FRED,MI,I had four for Green Bay
JO,WI,H After it's over it's over And he was that way when he was a little kid
FRED,MI,XX
WESS,MI,Oh Four for Green Bay
JO,WI,You know H but Tommy H He's another one
WESS,WI,Okay
JO,WI,But he's getting a lot better
FRED,MI,XX
JO,WI,Because Donna has really got mad at him
FRED,MI,XXX
WESS,MI,Yeah I'll <X tell him X>
JO,WI,H You know I mean that one time the Green Bay Packer loss it was on his birthday Wasn't this year it was last year
WESS,WI,Yeah he had Pittsburgh sco
JO,WI,He wouldn't go out to eat with her folks
WESS,WI,He had Green Bay four
CAM,WI,Hm
WESS,WI,and Pittsburgh nine
CAM,WI,So he won
WESS,WI,And the score was twenty-four to nineteen in favor of Green Bay so he won fifty buck
JO,WI,Good
CAM,WI,XX
JO,WI,Well Freddy is gonna be happy
CAM,WI,So where are you taking us to dinner
FRED,MI,I would have rather that pass be completed and Detroit won a title but
JO,WI,H VOX Oh no  VOX>
CAM,WI,
FRED,MI,But a consolation of fifty-
WESS,MI,But then too you wanna live Fred
FRED,MI,@
CAM,WI,@@@@@
JO,WI, @@@
WESS,WI,@@@@@@@@@
FRED,MI,But a consoloation of fifty dollars isn't bad
WESS,MI,H No
JO,WI,Oh I guess not
FRED,MI,It makes the lo H It makes the H the loss not so bad
JO,WI,Where do you take these tickets out
FRED,MI,TS
JO,WI,At the At the bar
FRED,MI,Oh it's a it's a pool
JO,WI,Oh at the bar
FRED,MI,Where you get certain numbers
WESS,MI,Yeah what Charlie t  took four or five chances on t
JO,WI,Oh
CAM,WI,At Em N Em's
WESS,WI,Two ten dollar
FRED,MI,Mhm Yeah at Em N Em's
JO,WI,Oh
WESS,WI,Yeah Charlie had two ten-dollar ones and four five-dollar ones
JO,WI,Oh that's silly
CAM,WI,HI The poochy SING Poochy poochy poochy SING>HI>
FRED,MI,
JO,WI,@Hx
WESS,WI,Poochy poochy poochy
FRED,MI,Oh my God look at all those gifts
JO,WI,H Yeah but they're a lot of em are not a lot You know
WESS,WI,THROAT
JO,WI,I mean the little kids always like
CAM,WI,Mm
JO,WI,H Raymond is a funny little boy I mean not a little boy anymore but I mean
FRED,MI,
JO,WI,H He always has been For years He always thanked me for the socks
CAM,WI,For the socks
JO,WI,Because I don't think Kathy ever buys him socks
CAM,WI,Oh
