SHERRY,NA,Apricot mustard sauce H
BETH,NA,SNIFF Liver and onions mm
SHERRY,NA,You should get a Philadelphia cheese steak Beth how about if I pick for you and you pick for me H
BETH,NA,
SHERRY,NA,It's easier that way H
ROSEMARY,NA,What in the world is a Philadelphia s-
SHERRY,NA,TSK It's roast beef with
ROSEMARY,NA,Hx
SHERRY,NA,melted cheese and sauteed onions
ROSEMARY,NA,Hx Mm That does sound good
SHERRY,NA,On a hoagie roll
ROSEMARY,NA,Hx
SHERRY,NA,Aah
ROSEMARY,NA,TSK What are you gonna have Sherry
SHERRY,NA,I don't know ask Beth Hx
BETH,NA,
SHERRY,NA,H
BETH,NA,H Oh
ROSEMARY,NA,TSK H Sherry's gonna have the classic chef salad
SHERRY,NA,TSK Oh
BETH,NA,No that's boring
ROSEMARY,NA,Or how about the pasta salad
SHERRY,NA,TSK Oh
BETH,NA,Well that's X a bit X better How about pasta and steak kebabs
SHERRY,NA,<VOX More better VOX> Pasta and Where's that
BETH,NA,Steak specialties First one
SHERRY,NA,TSK Oh that sounds nice
ROSEMARY,NA,Oh that does X s g X sound good
SHERRY,NA,Yeah H That sounds pretty good Okay TSK I'll buy H ENV AMBIENT_NOISE
BETH,NA,Can even get it as a complete meal
SHERRY,NA,As long as
ROSEMARY,NA,H
SHERRY,NA,Yeah Everything
ROSEMARY,NA,SIGH
SHERRY,NA,Oh also available as that Well what else is there Besides all the things they already said
BETH,NA,Salad and potato SNIFF Oh I guess yeah
SHERRY,NA,TSK Oh it has pasta hm Yeah salad it must be
BETH,NA,Salad What are you having
SHERRY,NA,Mom
ROSEMARY,NA,TSK Oh I'm having a BLT croissant TSK H And ice tea with no lemon
SHERRY,NA,Tastes very special Hx
ROSEMARY,NA,What it says
BETH,NA,What
SHERRY,NA,Hx The BLT tastes very special
ROSEMARY,NA,I don't wanna have roast beef sandwich cause I had one of those for breakfast
SHERRY,NA,
BETH,NA,Where does it say taste
SHERRY,NA,H
BETH,NA,Oh It's XX taste
